ZIP_CODE,FHSZ,Risk Category
94539,1.9411764705882353,Moderate
94542,1.5,Moderate
94544,1.5,Moderate
94546,2.142857142857143,Moderate
94547,1.7777777777777777,Moderate
94549,2.0344827586206895,Moderate
94550,1.5294117647058822,Moderate
94551,1.8125,Moderate
94552,1.6666666666666667,Moderate
94553,1.894736842105263,Moderate
94556,2.7142857142857144,High
94558,2.1666666666666665,Moderate
94559,1.5454545454545454,Moderate
94563,1.9696969696969697,Moderate
94564,2.0,Moderate
94565,1.411764705882353,Low
94566,1.8571428571428572,Moderate
94567,2.0833333333333335,Moderate
94568,1.5555555555555556,Moderate
94569,1.6666666666666667,Moderate
94572,1.5,Moderate
94574,1.4042553191489362,Low
94576,3.0,High
94577,2.75,High
94578,2.25,Moderate
94582,1.4,Low
94583,1.75,Moderate
94586,1.9333333333333333,Moderate
94587,2.25,Moderate
94588,1.7777777777777777,Moderate
94591,2.0,Moderate
94595,2.3333333333333335,Moderate
94596,1.5,Moderate
94597,3.0,High
94598,2.2,Moderate
94599,1.9130434782608696,Moderate
94602,3.0,High
94605,2.5,High
94610,3.0,High
94611,1.64,Moderate
94618,3.0,High
94619,2.375,Moderate
94704,3.0,High
94705,2.5,High
94707,3.0,High
94708,2.8,High
94709,3.0,High
94720,2.5,High
94803,2.6666666666666665,High
94805,3.0,High
94806,3.0,High
94901,1.2222222222222223,Low
94903,1.6842105263157894,Moderate
94904,1.875,Moderate
94920,1.2222222222222223,Low
94922,1.0,Low
94923,1.5,Moderate
94924,2.75,High
94925,1.6,Moderate
94929,1.0,Low
94930,1.8333333333333333,Moderate
94931,1.0,Low
94933,2.5,High
94937,1.8571428571428572,Moderate
94938,2.0,Moderate
94939,1.6,Moderate
94940,2.0,Moderate
94941,1.96,Moderate
94945,1.25,Low
94946,1.2272727272727273,Low
94947,1.5,Moderate
94949,1.8571428571428572,Moderate
94951,1.5,Moderate
94952,1.6875,Moderate
94954,1.0975609756097562,Low
94956,1.1666666666666667,Low
94957,1.75,Moderate
94960,1.4,Low
94963,2.0,Moderate
94964,1.0,Low
94965,2.4166666666666665,Moderate
94970,2.625,High
94971,2.0,Moderate
94972,1.0,Low
94973,1.75,Moderate
95003,1.25,Low
95004,1.565217391304348,Moderate
95005,1.4285714285714286,Low
95006,2.1666666666666665,Moderate
95012,1.25,Low
95013,2.0,Moderate
95014,2.25,Moderate
95017,1.8421052631578947,Moderate
95018,1.1666666666666667,Low
95020,1.6666666666666667,Moderate
95023,1.8333333333333333,Moderate
95030,2.35,Moderate
95032,2.4285714285714284,Moderate
95033,2.409090909090909,Moderate
95035,2.1,Moderate
95037,2.142857142857143,Moderate
95043,2.2713178294573644,Moderate
95045,1.6,Moderate
95046,1.6666666666666667,Moderate
95060,1.65625,Moderate
95064,1.5,Moderate
95065,1.25,Low
95066,1.25,Low
95070,2.357142857142857,Moderate
95073,1.1666666666666667,Low
95075,1.25,Low
95076,2.0,Moderate
95119,1.6,Moderate
95120,1.7297297297297298,Moderate
95123,1.5,Moderate
95124,3.0,High
95127,2.25,Moderate
95132,2.142857142857143,Moderate
95135,1.7058823529411764,Moderate
95138,1.4193548387096775,Low
95139,1.6666666666666667,Moderate
95140,2.25,Moderate
95141,2.25,Moderate
95148,1.5,Moderate
95220,1.3333333333333333,Low
95222,2.6176470588235294,High
95223,2.742857142857143,High
95228,2.4285714285714284,Moderate
95230,1.625,Moderate
95232,2.727272727272727,High
95236,1.25,Low
95240,1.0,Low
95245,2.4615384615384617,Moderate
95246,2.3076923076923075,Moderate
95247,2.5,High
95249,2.2,Moderate
95251,3.0,High
95252,2.230769230769231,Moderate
95255,2.8823529411764706,High
95257,2.8,High
95304,2.0,Moderate
95306,2.3333333333333335,Moderate
95310,3.0,High
95311,2.7719298245614037,High
95318,3.0,High
95321,2.859375,High
95322,1.588235294117647,Moderate
95323,1.0,Low
95327,2.4823529411764707,Moderate
95329,1.8222222222222222,Moderate
95333,1.4,Low
95335,2.425531914893617,Moderate
95338,2.642857142857143,High
95340,1.2,Low
95345,3.0,High
95346,2.8947368421052633,High
95360,1.4545454545454546,Low
95361,2.0,Moderate
95363,1.6363636363636365,Moderate
95364,2.125,Moderate
95369,1.95,Moderate
95370,2.4473684210526314,Moderate
95372,2.2,Moderate
95377,1.4166666666666667,Low
95379,2.526315789473684,High
95383,3.0,High
95386,1.8571428571428572,Moderate
95388,1.0,Low
95389,3.0,High
95391,1.5,Moderate
95401,1.0,Low
95403,1.5,Moderate
95404,2.0,Moderate
95405,1.6666666666666667,Moderate
95407,2.0,Moderate
95409,1.5777777777777777,Moderate
95410,1.75,Moderate
95412,1.5,Moderate
95415,1.9,Moderate
95417,2.076923076923077,Moderate
95420,1.5,Moderate
95421,2.0952380952380953,Moderate
95422,2.4074074074074074,Moderate
95423,2.6808510638297873,High
95425,1.9024390243902438,Moderate
95426,3.0,High
95427,2.076923076923077,Moderate
95428,2.421875,Moderate
95429,2.5,High
95432,1.375,Low
95436,1.8571428571428572,Moderate
95437,1.5555555555555556,Moderate
95441,1.9268292682926829,Moderate
95442,1.8888888888888888,Moderate
95443,3.0,High
95445,2.2142857142857144,Moderate
95446,2.4444444444444446,Moderate
95448,1.391304347826087,Low
95449,1.8108108108108107,Moderate
95450,2.25,Moderate
95451,1.7307692307692308,Moderate
95452,1.7272727272727273,Moderate
95453,1.8974358974358974,Moderate
95454,1.92,Moderate
95456,2.0,Moderate
